symbol,date,industry_code,total_non_current_assets,total_assets,total_current_liabilities,total_liabilities,stockholders_equity,total_equity,cash_and_short_term_investments,cash_only,total_cash_and_due_from_banks,total_debt,total_revenue,gross_income,pretax_income,income_taxes,operating_income,net_income,interest_expense_non_operating,ebit,ebitda,diluted_shares_outstanding,net_operating_cash_flow,free_cash_flow
SSTM.JK,2024-06-30,1,193244357894.0,398490509665,117030378865.0,153112869705,245377639960,245377639960,2746185275.0,,,,107261185204.0,7955222857.0,10074874189.0,-559116553.0,9515757636,9515757636,-107163743.0,9967710446.0,,1189469704.5,858343588,1348343588.0
KRYA.JK,2024-03-31,3,45309423871.0,209496258531,88738542240.0,104419273481,104092114371,105076985050,,,,,59068956454.0,6267381754.0,2363952194.0,-1638039576.0,725912618,725912618,,,,,-274646526,
ACRO.JK,2024-03-31,1,82727713091.0,157556606762,23753468622.0,26268217258,131288389504,131288389504,44163633887.0,,,20754325000.0,13168704267.0,6015343092.0,3543628635.0,-750988244.0,2792640391,2792640391,-431691054.0,3111937581.0,,2792640391.0,-11235673558,-11131206340.0
GUNA.JK,2024-06-30,1,348196291288.0,860478579282,255122187774.0,283772694342,448949945509,576705884940,56917322710.0,,,36357728264.0,701480989402.0,79272636812.0,36864050261.0,-8128349662.0,28735700599,28735700599,-4452471975.0,32411578286.0,,2026542025.090909,18634377480,79025975096.0
SNLK.JK,2024-03-31,1,192985514459.0,210587484788,9043757812.0,43244644055,167342840733,167342840733,15120044759.0,,,,10738671415.0,5700430914.0,-2319325983.0,,-2319325983,-2319325983,133758019.0,-2185567964.0,,463865196.6,-584673192,1062512672.0
SNLK.JK,2024-06-30,1,190876662666.0,211221417711,11625748700.0,45826634943,165394782768,165394782768,16467751726.0,,,,21925352729.0,11973777947.0,-4267383948.0,,-4267383948,-4267383948,-564695966.0,-4832079914.0,,474153772.0,991215757,2842141937.0
KICI.JK,2024-03-31,1,47647915526.0,185325405324,19539620572.0,76433497151,108891908173,108891908173,7762192276.0,,,11172407804.0,19607640031.0,3727580983.0,-1381856340.0,302330598.0,-1079525742,-1079525742,-190792679.0,-1572649019.0,,359841914.0,5174398262,5756781350.0
KICI.JK,2024-06-30,1,47579852262.0,186939531945,21331554224.0,79728841026,107210690919,107210690919,2285602479.0,,,12819461297.0,36708455809.0,6973432579.0,-3539400554.0,778657558.0,-2760742996,-2760742996,-400707965.0,-3940108519.0,,276074299.6,-1623825655,-700943925.0
AMIN.JK,2024-03-31,3,102470930458.0,343667276574,156707399706.0,169826025357,173841251217,173841251217,,,,,76240835987.0,9599144100.0,4755360207.0,,4755360207,4755360207,,,,,996910920,
AMIN.JK,2024-06-30,3,101985933878.0,336803049573,149913938525.0,163178442323,173624607250,173624607250,,,,,166662051378.0,21290333536.0,9938716240.0,,9938716240,9938716240,,,,,11518190660,
BAIK.JK,2024-03-31,1,30549079972.0,136830597124,10741798890.0,11170970807,124998999806,125659626317,24606830915.0,,,261733047.0,41840827542.0,9818552696.0,3810770894.0,,3810770894,3810770894,-26170663.0,3784600231.0,,1305651512.6666667,-37344249608,-33225451721.0
