symbol,year,period,file_name,file_url
SOFA.JK,2023,tw2,FinancialStatement-2023-II-SOFA.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/SOFA/FinancialStatement-2023-II-SOFA.xlsx
ADMR.JK,2023,tw2,FinancialStatement-2023-II-ADMR.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/ADMR/FinancialStatement-2023-II-ADMR.xlsx
DIGI.JK,2023,tw2,FinancialStatement-2023-II-DIGI.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/DIGI/FinancialStatement-2023-II-DIGI.xlsx
BBTN.JK,2023,tw2,FinancialStatement-2023-II-BBTN.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/BBTN/FinancialStatement-2023-II-BBTN.xlsx
ROCK.JK,2023,tw2,FinancialStatement-2023-II-ROCK.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/ROCK/FinancialStatement-2023-II-ROCK.xlsx
ICBP.JK,2023,tw2,FinancialStatement-2023-II-ICBP.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/ICBP/FinancialStatement-2023-II-ICBP.xlsx
TNCA.JK,2023,tw2,FinancialStatement-2023-II-TNCA.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/TNCA/FinancialStatement-2023-II-TNCA.xlsx
MREI.JK,2023,tw2,FinancialStatement-2023-II-MREI.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/MREI/FinancialStatement-2023-II-MREI.xlsx
INDX.JK,2023,tw2,FinancialStatement-2023-II-INDX.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/INDX/FinancialStatement-2023-II-INDX.xlsx
PACK.JK,2023,tw2,FinancialStatement-2023-II-PACK.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/PACK/FinancialStatement-2023-II-PACK.xlsx
APEX.JK,2023,tw2,FinancialStatement-2023-II-APEX.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/APEX/FinancialStatement-2023-II-APEX.xlsx
PKPK.JK,2023,tw2,FinancialStatement-2023-II-PKPK.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/PKPK/FinancialStatement-2023-II-PKPK.xlsx
GMTD.JK,2023,tw2,FinancialStatement-2023-II-GMTD.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/GMTD/FinancialStatement-2023-II-GMTD.xlsx
MTEL.JK,2023,tw2,FinancialStatement-2023-II-MTEL.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/MTEL/FinancialStatement-2023-II-MTEL.xlsx
GGRM.JK,2023,tw2,FinancialStatement-2023-II-GGRM.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/GGRM/FinancialStatement-2023-II-GGRM.xlsx
HITS.JK,2023,tw2,FinancialStatement-2023-II-HITS.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/HITS/FinancialStatement-2023-II-HITS.xlsx
HADE.JK,2023,tw2,FinancialStatement-2023-II-HADE.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/HADE/FinancialStatement-2023-II-HADE.xlsx
RONY.JK,2023,tw2,FinancialStatement-2023-II-RONY.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/RONY/FinancialStatement-2023-II-RONY.xlsx
MCOR.JK,2023,tw2,FinancialStatement-2023-II-MCOR.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/MCOR/FinancialStatement-2023-II-MCOR.xlsx
INPP.JK,2023,tw2,FinancialStatement-2023-II-INPP.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/INPP/FinancialStatement-2023-II-INPP.xlsx
RSGK.JK,2023,tw2,FinancialStatement-2023-II-RSGK.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/RSGK/FinancialStatement-2023-II-RSGK.xlsx
GHON.JK,2023,tw2,FinancialStatement-2023-II-GHON.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/GHON/FinancialStatement-2023-II-GHON.xlsx
SAPX.JK,2023,tw2,FinancialStatement-2023-II-SAPX.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/SAPX/FinancialStatement-2023-II-SAPX.xlsx
BABP.JK,2023,tw2,FinancialStatement-2023-II-BABP.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/BABP/FinancialStatement-2023-II-BABP.xlsx
SSTM.JK,2023,tw2,FinancialStatement-2023-II-SSTM.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/SSTM/FinancialStatement-2023-II-SSTM.xlsx
WIFI.JK,2023,tw2,FinancialStatement-2023-II-WIFI.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/WIFI/FinancialStatement-2023-II-WIFI.xlsx
AMIN.JK,2023,tw2,FinancialStatement-2023-II-AMIN.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/AMIN/FinancialStatement-2023-II-AMIN.xlsx
PORT.JK,2023,tw2,FinancialStatement-2023-II-PORT.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/PORT/FinancialStatement-2023-II-PORT.xlsx
CPRO.JK,2023,tw2,FinancialStatement-2023-II-CPRO.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/CPRO/FinancialStatement-2023-II-CPRO.xlsx
KRAS.JK,2023,tw2,FinancialStatement-2023-II-KRAS.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/KRAS/FinancialStatement-2023-II-KRAS.xlsx
ABDA.JK,2023,tw2,FinancialStatement-2023-II-ABDA.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/ABDA/FinancialStatement-2023-II-ABDA.xlsx
GTBO.JK,2023,tw2,FinancialStatement-2023-II-GTBO.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/GTBO/FinancialStatement-2023-II-GTBO.xlsx
PEVE.JK,2023,tw2,FinancialStatement-2023-II-PEVE.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/PEVE/FinancialStatement-2023-II-PEVE.xlsx
ALKA.JK,2023,tw2,FinancialStatement-2023-II-ALKA.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/ALKA/FinancialStatement-2023-II-ALKA.xlsx
