symbol,period,year,cash_only,total_non_current_assets,total_assets,total_current_liabilities,total_liabilities,stockholders_equity,total_equity,total_revenue,gross_income,pretax_income,operating_income,net_income,net_operating_cash_flow
SMKL.JK,tw2,2024,8533784075,1086307206331.0,1976286445497,920866458861.0,1039801146430,936485299067,936485299067,833052132585.0,154337180242.0,22206310849,17146022515,17146022515,-1703840592
DEWI.JK,tw1,2024,22453340333,82010174100.0,179257903441,16437502528.0,27643045938,151614857503,151614857503,10117294590.0,2311443996.0,830741227,672900394,672900394,11160250658
DEWI.JK,tw2,2024,10710176292,78555942590.0,177872427847,14174140959.0,24997892339,152874535507,152874535507,22785777165.0,5036547991.0,1933520953,1566151972,1566151972,-26808916172
IBFN.JK,tw2,2024,52617967159,340151220773.0,439957388022,186770095277.0,1120403322559,-680445934537,-680445934537,11964452170.0,1129654700.0,-28981504735,-49311529406,-49311529406,-18583298152
ENZO.JK,tw1,2024,2641370737,117263052227.0,378424767090,204361798087.0,221349657903,152223119356,157075109187,149035331218.0,14383096723.0,2469014911,1356579926,1356579926,-18406181646
ENZO.JK,tw2,2024,26111585195,115546803155.0,399706815179,208830575609.0,238589275393,160766361561,161117539786,314041602238.0,32109409636.0,7034098035,5554268405,5554268405,1249544600
CHEM.JK,tw1,2024,6276255145,33290245456.0,156053536832,36901303196.0,42631557171,113421979661,113421979661,41595358670.0,12409902849.0,2863192275,2230648776,2230648776,893637653
CHEM.JK,tw2,2024,5640887012,33174143404.0,176404610361,52840374861.0,58645404162,117759206199,117759206199,94263987124.0,25643496012.0,8841707735,6790150217,6790150217,-2892523422
OBMD.JK,tw1,2024,66156684023,38366754933.0,188585516126,19378620775.0,34119633441,154465882685,154465882685,53413524368.0,45135519659.0,24374663190,19046861983,19046861983,-10150338368
OBMD.JK,tw2,2024,75195165945,37297073763.0,201430530328,29202660047.0,38954155701,162476374627,162476374627,93134976408.0,80875227204.0,34644524553,27057353926,27057353926,-2805913518
SMKM.JK,tw2,2024,75176460441,9374146379.0,207075772071,2353195049.0,3135754893,203940017178,203940017178,44629995371.0,5593607357.0,43533037,308317194,308317194,17546163637
ESTA.JK,tw1,2024,26438772591,273961884802.0,308194429450,41959122708.0,120018388639,188145323944,188176040811,10966935286.0,6399964867.0,-2154144694,-2154144694,-2154144694,333372838
ESTA.JK,tw2,2024,27025736438,280082964177.0,314198107291,45338693095.0,126234450883,187932979096,187963656408,22397370871.0,13230825233.0,-2366529097,-2366529097,-2366529097,2668310575
GPSO.JK,tw1,2024,774103519,22420239083.0,59398562000,6160281133.0,9656471372,49742090628,49742090628,924340536.0,388972204.0,-1411428824,-1411428824,-1411428824,-3486124768
GPSO.JK,tw2,2024,1002167853,22084048771.0,59289869326,6400912615.0,10573134854,48716734472,48716734472,2889122344.0,1779367478.0,-2436784981,-2436784981,-2436784981,-7823775434
RGAS.JK,tw1,2024,26564596278,23273873640.0,90030836821,2593202094.0,3322026631,86626858399,86708810190,20530026602.0,6122316938.0,1826638717,1210988402,1210988402,3867852695
RGAS.JK,tw2,2024,23353650173,26724546405.0,91525408735,2779287505.0,3475384769,87974488177,88050023966,34131284852.0,13788692169.0,3195658650,2588404794,2588404794,786146419
ESTI.JK,tw1,2024,82343,26468630.0,48094417,20108129.0,32229360,15864774,15865057,6562769.0,848783.0,49855,49855,49855,1635920
ESTI.JK,tw2,2024,294563,25838236.0,47864539,18386235.0,31812007,16052177,16052532,12228431.0,1897728.0,237330,237330,237330,2587841
SOSS.JK,tw1,2024,55820020852,47694349451.0,545969333150,239808733237.0,246042805400,266720635015,299926527750,471992852215.0,37940348315.0,8552893567,5678065977,5678065977,-2409618089
CRAB.JK,tw2,2024,23803073781,60129245687.0,321712605192,105741143876.0,120170489176,201542116016,201542116016,281908851645.0,33339238783.0,10043791164,7829965924,7829965924,44224829034
PEVE.JK,tw1,2024,4094962498,29346884224.0,1012842610646,727006761393.0,770260957756,242581498804,242581652890,714492921204.0,85889892483.0,13634096897,10634595580,10634595580,-14276860475
PEVE.JK,tw2,2024,4229163640,32892532562.0,1051272112446,756609862296.0,800857602956,250413844173,250414509490,1425257031260.0,170003273022.0,23676209450,18467452180,18467452180,-18861825787
FUTR.JK,tw1,2024,19035638630,29128990572.0,187052142219,5305959668.0,8783200709,178268178155,178268941510,29322084798.0,2547587035.0,553725912,349423262,349423262,927940464
FUTR.JK,tw2,2024,11016045067,34090292225.0,188430045971,8367628974.0,9439927836,178989396762,178990118135,58509990398.0,6056248346.0,1608259427,1070362287,1070362287,1217954029
KUAS.JK,tw1,2024,39965271207,104729890102.0,270291261632,84895790531.0,112403245835,157888015797,157888015797,33563967398.0,9586531896.0,1903878456,1433138066,1433138066,7884821821
