symbol,date,industry_code,total_current_assets,total_non_current_assets,total_assets,cash_only,total_cash_and_due_from_banks,cash_and_short_term_investments,total_current_liabilities,total_non_current_liabilities,total_liabilities,total_equity,total_debt,stockholders_equity,total_revenue,cost_of_revenue,gross_income,operating_expenses,operating_income,non_operating_income,pretax_income,income_taxes,minorities,net_income,interest_expense_non_operating,ebit,ebitda,diluted_shares_outstanding,net_operating_cash_flow,net_investing_cash_flow,net_financing_cash_flow,net_increased_decreased,capital_expenditure,free_cash_flow,perating_income
ASSA.JK,2024-03-31,3,1811791880691.0,5850527716010.0,7662319596701.0,,,839589517700.0,1845649548781.0,3133851182981.0,4979500731762.0,2682818864939.0,3981351434109.0,1927832214576.0,1181858146310.0,842375153872.0,339482992438.0,175326460559.0,514809452997.0,-409398087112.0,105411365885.0,-23968855054.0,10433868844.0,71008641987.0,72874369370.0,178285735255.0,,3690677857.9521832,191161173630.0,-160154496161.0,48645174742.0,79651852211.0,34176630803.0,225337804433.0,
PCAR.JK,2024-03-31,1,79028021655.0,32153666931.0,111181688586.0,,,2783350046.0,22668386284.0,20723380548.0,43391766832.0,67789921754.0,24670175968.0,70227327752.0,78127719901.0,69356720142.0,8770999759.0,7113438512.0,15884438271.0,-13266357311.0,2618080960.0,,77814.0,2618003146.0,330530985.0,2948611945.0,,1179280696.3963964,-14950041130.0,-28936938.0,794998791.0,-14183979277.0,28936938.0,-14921104192.0,
APII.JK,2024-03-31,1,295278282184.0,320151982218.0,615430264402.0,,,20069113842.0,185271168685.0,17800293527.0,203071462212.0,412358802190.0,134754313448.0,394199147604.0,77036578834.0,35935308919.0,41101269915.0,34993766933.0,76095036848.0,-72106082543.0,3988954305.0,-1934922452.0,260869051.0,1793162802.0,4131918511.0,8120872816.0,,896581401.0,27380204096.0,-41623211718.0,3844585258.0,-10398422364.0,41623211718.0,69003415814.0,
PNSE.JK,2024-03-31,1,54127637196.0,300690030361.0,354817667557.0,,,19608344277.0,82317485175.0,76829158423.0,159146643598.0,195671023959.0,68573209600.0,124829526341.0,41217463959.0,21216047234.0,20001416725.0,15625870760.0,35627287485.0,-39480564753.0,-3853277268.0,-43342968.0,-276056340.0,-3620563896.0,,,,724112779.2,-1973899510.0,-5401238997.0,-4561363633.0,-11936502140.0,5978880986.0,4004981476.0,
TOOL.JK,2024-03-31,1,98268648923.0,117397668066.0,215666316989.0,,,10064586284.0,6954573308.0,17693081262.0,24647654570.0,191018662419.0,19253005711.0,191010733308.0,26108328848.0,15216499770.0,10891829078.0,11753130048.0,22644959126.0,-23791084268.0,-1146125142.0,-21532600.0,-881275.0,-1166776467.0,336621391.0,-809503751.0,,2046976257.894737,9619922271.0,-1821456881.0,-432095756.0,7366369634.0,1821456881.0,11441379152.0,
DATA.JK,2024-03-31,1,49624361397.0,108403237198.0,158027598595.0,,,5620824567.0,42725053064.0,12182626158.0,54907679222.0,103119919373.0,24686662890.0,103119919373.0,58752380980.0,20682626421.0,38069754559.0,22304460095.0,60374214654.0,-45235325768.0,15138888886.0,-3439990397.0,,11698898489.0,553751547.0,15692640433.0,,1099520534.6804512,10170638165.0,-21835342852.0,-7487972083.0,-19152676770.0,21835342852.0,32005981017.0,
TGUK.JK,2024-03-31,1,53717603460.0,152322158949.0,206039762409.0,,,4359986624.0,26441407644.0,1290640955.0,27732048599.0,178307713810.0,6000000000.0,178307713810.0,34649405738.0,15102625189.0,19546780549.0,17470330225.0,37017110774.0,-35497478314.0,1519632460.0,-434839368.0,,1084793092.0,285492636.0,1805125096.0,,2522774632.55814,5359934585.0,-36589930438.0,1000000000.0,-30229995853.0,36589930438.0,41949865023.0,
MSTI.JK,2024-03-31,1,2556390313366.0,227582137094.0,2783972450460.0,,,928986275829.0,616716124937.0,117723303382.0,734439428319.0,2049533022141.0,67210605409.0,2049533022141.0,1119492792508.0,907350640281.0,212142152227.0,86627655044.0,298769807271.0,-168035204702.0,130734602569.0,-25510114264.0,,105224488305.0,2458023645.0,133192626214.0,,2769065481.7105265,104215336336.0,-96191376.0,-178248545653.0,-74129400693.0,4874200788.0,109089537124.0,
PSDN.JK,2024-03-31,1,12979386246.0,134046088337.0,147025474583.0,,,3238361415.0,22484295077.0,63533796459.0,86018091536.0,61007383047.0,0.0,61007383047.0,1404750800.0,1190684913.0,214065887.0,6574461165.0,6788527052.0,-11863355935.0,-5074828883.0,0.0,0.0,-5074828883.0,0.0,-5074828883.0,,1441712750.8522727,-2896035130.0,0.0,2465000000.0,-431035130.0,0.0,-2896035130.0,
SMMT.JK,2024-03-31,1,220095612016.0,836246813564.0,1056342425580.0,,,85154408389.0,202317056743.0,33766515103.0,236083571846.0,820258853734.0,,764951036897.0,84388125429.0,70427657900.0,13960467529.0,12646281738.0,26606749267.0,-11843060066.0,14763689201.0,-1195561972.0,778444493.0,12789682736.0,230728262.0,14994417463.0,,3150168161.576355,46969888452.0,-7639248660.0,,39330639792.0,5494463254.0,52464351706.0,
ELSA.JK,2024-03-31,1,6336232000000.0,3571901000000.0,9908133000000.0,,,2475644000000.0,4345978000000.0,962895000000.0,5308873000000.0,4599260000000.0,1248730000000.0,4597672000000.0,3107783000000.0,2783510000000.0,324273000000.0,112525000000.0,436798000000.0,-200878000000.0,235920000000.0,-52728000000.0,,183192000000.0,27879000000.0,263799000000.0,,7298.4860557768925,528520000000.0,-111586000000.0,-20771000000.0,396163000000.0,112169000000.0,640689000000.0,
ALTO.JK,2024-03-31,1,127113625035.0,845364774993.0,972478400028.0,,,6720511127.0,163557807106.0,487213821304.0,650771628410.0,321706771618.0,575862478917.0,320248869167.0,27984849521.0,21873695693.0,6111153828.0,6098476876.0,12209630704.0,-11583026437.0,626604267.0,-2685723145.0,-5270753.0,-2053848125.0,624378714.0,1250982981.0,,2184944813.8297873,-842764569.0,339891893.0,-448500161.0,-951372837.0,,,
TOSK.JK,2024-03-31,1,152523399042.0,43163297726.0,195686696768.0,,,58811483961.0,39038079126.0,8280350348.0,47318429474.0,148368267294.0,19034254771.0,148368259678.0,594130958413.0,584304634242.0,9826324171.0,7334522988.0,17160847159.0,-14781831840.0,2379015319.0,-537080167.0,-253.0,1841935405.0,574023033.0,2953038352.0,,1860540813.131313,-50931485556.0,-3787590521.0,109006434743.0,54287358666.0,3801293917.0,-47130191639.0,
VINS.JK,2024-03-31,6,,,217216103674.0,7273569492.0,,,,,65996568250.0,151219535424.0,,151219535424.0,23118672983.0,,,,,,1170029334.0,,,1170029334.0,,,,1462536667.5,1976979047.0,2404086435.0,-269904102.0,4111161380.0,5433900.0,1982412947.0,1170029334.0
