symbol,period,year,cash_only,total_assets,total_liabilities,stockholders_equity,total_equity,pretax_income,operating_income,net_income,net_operating_cash_flow,total_non_current_assets,total_current_liabilities,total_revenue,gross_income
MPOW.JK,tw1,2024,3254298000,178773446000,60021664000,118751782000,118751782000,-2412467000,-1915822000,-1915822000,-72363000,163844818000.0,51400093000.0,8104437000.0,1070104000.0
MPOW.JK,tw2,2024,3383733000,175314950000,56293887000,119021063000,119021063000,-1976144000,-1646541000,-1646541000,4148422000,157831207000.0,50494591000.0,18655237000.0,4991002000.0
INDO.JK,tw1,2024,214405379206,1005846669036,3441396076,1002398161003,1002405272960,2827588281,2694988282,2694988282,3794610404,477000776727.0,2237269129.0,5187610488.0,3339824133.0
INDO.JK,tw2,2024,225191519703,1016625666268,3946190805,1012672340943,1012679475463,13314687783,12968860785,12968860785,8462580487,477349840763.0,2692063858.0,11008340704.0,6067214450.0
RSCH.JK,tw1,2024,3170772803,155221912068,4497976398,150723935670,150723935670,507753598,264210893,264210893,1946325872,147079883640.0,4064991584.0,12531561730.0,4719682941.0
RSCH.JK,tw2,2024,4569405776,155386731125,4551384785,150835346340,150835346340,674312502,375621563,375621563,3640687564,145982780898.0,4126943327.0,24566476552.0,8667385210.0
HAJJ.JK,tw1,2024,1001803892,188683189038,32125177835,156558011203,156558011203,12703644394,9904838220,9904838220,321283755,12203022662.0,28144766859.0,306055527563.0,16089831504.0
HAJJ.JK,tw2,2024,4157073697,212585724170,42182918355,170402805815,170402805815,30465652450,23748024482,23748024482,3750125215,12035782712.0,38108159899.0,431059680039.0,38490096738.0
KING.JK,tw2,2024,20409848713,161020550308,58801736313,102210611808,102218813995,10970283864,8750521784,8750521784,-3064738219,25720600568.0,50043575591.0,140646077913.0,21294648544.0
MUTU.JK,tw1,2024,31636762010,282087273171,77508663076,204457725429,204578610095,5884369515,4389671383,4389671383,26222615911,130326998995.0,35837177697.0,60512864709.0,26064353755.0
MUTU.JK,tw2,2024,12564699981,282415753102,80367709445,201819754707,202048043657,13925283798,11305082605,11305082605,8014879706,145445138185.0,41889587594.0,127371435007.0,60090396213.0
ISAP.JK,tw2,2024,1693304652,177235933184,7063792942,170172140242,170172140242,733667005,547312778,547312778,419093591,17766985406.0,6273044406.0,24228775938.0,2917436884.0
GRPM.JK,tw2,2024,24400895324,181292267219,94398724030,70479232863,86893543189,4352719760,3615780040,3615780040,27615722833,39265106910.0,91875262030.0,370685554524.0,27577000979.0
PPRI.JK,tw1,2024,42981404780,116926084059,25102774894,91823309165,91823309165,1452618693,1028029693,1028029693,-358607749,37560875723.0,16149178727.0,40499245029.0,6069566565.0
PPRI.JK,tw2,2024,41904136691,110126072770,17497670039,92628402731,92628402731,2494235459,1832733459,1832733459,-4886304520,33832854107.0,7439994538.0,73707681941.0,11730719855.0
RELF.JK,tw2,2024,7659942039,295328648874,65275448142,230053200732,230053200732,2522411736,2136260397,2136260397,734668887,154737864357.0,38232764355.0,16374630192.0,7014009492.0
MAXI.JK,tw1,2024,32486241624,220951687569,72192876816,148758810753,148758810753,502476498,502476498,502476498,11352157891,136011153088.0,41225286810.0,26552950833.0,7944022263.0
MAXI.JK,tw2,2024,14280126443,217480329020,67049298949,150431030071,150431030071,2173226016,2173226016,2173226016,-14311015844,136704110146.0,38052249983.0,58910243122.0,16415101976.0
MENN.JK,tw1,2024,16931283645,44373104849,1874887391,42477769500,42498217458,-84584388,-84584388,-84584388,-262972991,10703243637.0,1853848969.0,693086172.0,415268130.0
MENN.JK,tw2,2024,2344249867,45017924029,2046030492,42943425795,42971893537,388924381,388924381,388924381,-6311403910,19240248275.0,2024992070.0,2918801975.0,1601411651.0
TAYS.JK,tw1,2024,174035430,411480231559,296875334071,114613193097,114604897488,-10105470185,-10105470185,-10105470185,12129651345,201340394236.0,287227433499.0,54089171312.0,14120685986.0
TAYS.JK,tw2,2024,186957914,417972677787,302809097531,115171875865,115163580256,-9546787417,-9546787417,-9546787417,-19080780238,198491061526.0,263041831430.0,99117670503.0,26881125611.0
IOTF.JK,tw1,2024,1275024748,174633560306,20069875135,154562388211,154563685171,306140220,306140220,306140220,-14146324223,36937598706.0,14900762460.0,15136286772.0,5473693647.0
PMMP.JK,tw1,2024,14363296,315342324,227269091,88073233,88073233,1669484,1669484,1669484,-5123158,53740142.0,217875409.0,49613592.0,8479026.0
LABA.JK,tw1,2024,655220366,57983627929,4438262937,53545364992,53545364992,-1168442649,-1168442649,-1168442649,666490156,41162222767.0,2492648657.0,1558907865.0,3721109.0
LABA.JK,tw2,2024,11405652107,69494475419,3626630213,65867845206,65867845206,-2654214985,-2654214985,-2654214985,-2149076667,41181262467.0,1829825457.0,2844611578.0,844627784.0
BESS.JK,tw1,2024,95118589605,669195572319,106127988486,559748101645,563067583833,-3838688643,-9935198606,-9935198606,-635257667,509079469306.0,63075816081.0,66074508787.0,8664757260.0
BESS.JK,tw2,2024,82640846792,641138472832,86114719637,551695182684,555023753195,-12267590535,-18495134002,-18495134002,37552412,496351214775.0,39760564445.0,114526986955.0,15690700577.0
GTRA.JK,tw1,2024,60303440517,1009256528341,717062907204,292173845314,292193621137,13746605307,10032145893,10032145893,7054265677,831013938066.0,126296801206.0,107283585181.0,47121138774.0
GTRA.JK,tw2,2024,8765089846,973186701838,671856600123,301305356813,301330101715,25346743938,19168626471,19168626471,17339806788,823804884097.0,135646387601.0,211814927894.0,89534301706.0
ELIT.JK,tw1,2024,17934625198,276148793160,147804154666,128481888109,128344638494,10528246045,8510651345,8510651345,-228625941,105956579094.0,104801333482.0,105473866652.0,28538043676.0
ELIT.JK,tw2,2024,13466126360,309554543099,184876681329,124707358203,124677861770,18617844852,14484332858,14484332858,8202366852,109123929738.0,141360259293.0,220878769213.0,61537364414.0
CRSN.JK,tw1,2024,28995931425,321537332711,106186916905,216845397486,215350415806,4022795252,2286652848,2286652848,-759861069,193122795947.0,48849181270.0,88455905053.0,47072148929.0
CRSN.JK,tw2,2024,25166487869,324599329619,117033184668,208644444707,207566144951,3257036515,1298581993,1298581993,5996898514,199705381690.0,54330394370.0,184114056245.0,97757335114.0
