symbol,date,total_current_assets,total_non_current_assets,total_assets,cash_only,total_cash_and_due_from_banks,cash_and_short_term_investments,total_current_liabilities,total_non_current_liabilities,total_liabilities,total_equity,total_debt,stockholders_equity,total_revenue,cost_of_revenue,gross_income,operating_expenses,operating_income,non_operating_income,pretax_income,income_taxes,minorities,net_income,interest_expense_non_operating,ebit,ebitda,diluted_shares_outstanding,net_operating_cash_flow,net_investing_cash_flow,net_financing_cash_flow,net_increased_decreased,capital_expenditure,free_cash_flow,perating_income
GEMS.JK,2024-03-31,885613582.0,469732159.0,1355345741.0,,,350878920.0,446643484.0,71198388.0,517841872.0,837503869.0,158618090.0,825756966.0,715641070.0,378293895.0,337347175.0,111352084.0,448699259.0,-222195144.0,226504115.0,-51370682.0,3415066.0,171718367.0,3357641.0,229861756.0,,5921323000.0,138840970.0,-9638104.0,-94277296.0,34925570.0,3225382.0,142066352.0,
ACRO.JK,2024-03-31,74828893671.0,82727713091.0,157556606762.0,,,44163633887.0,23753468622.0,2514748636.0,26268217258.0,131288389504.0,20754325000.0,131288389504.0,13168704267.0,7153361175.0,6015343092.0,1101107489.0,7116450581.0,-3572821946.0,3543628635.0,-750988244.0,,2792640391.0,445798600.0,3989427235.0,,2471363177.8761063,-11235673558.0,-104467218.0,53252650047.0,41912509271.0,104467218.0,-11131206340.0,
ADMR.JK,2024-03-31,892405040.0,889946337.0,1782351377.0,,,620308138.0,201301009.0,428229109.0,629530118.0,1152821259.0,101231790.0,1091513102.0,274535673.0,117473633.0,157062040.0,11282078.0,168344118.0,-21029682.0,147314436.0,-31677400.0,-409841.0,116046877.0,6944659.0,154259095.0,,41445313214.28571,139724737.0,-77097712.0,-29579546.0,33047479.0,77097712.0,216822449.0,
SMAR.JK,2024-03-31,18696116000000.0,20025620000000.0,38721736000000.0,,,903786000000.0,9843371000000.0,9580082000000.0,19423453000000.0,19298283000000.0,14976730000000.0,19284948000000.0,17882988000000.0,16166530000000.0,1716458000000.0,1353436000000.0,3069894000000.0,-2862467000000.0,207427000000.0,-29556000000.0,2000000.0,177869000000.0,297018000000.0,504445000000.0,,2868854838.709677,949783000000.0,-482759000000.0,-1214108000000.0,-747084000000.0,474197000000.0,1423980000000.0,
ICBP.JK,2024-03-31,41289519000000.0,82306845000000.0,123596364000000.0,,,22743959000000.0,11224464000000.0,47793244000000.0,59017708000000.0,64578656000000.0,44832826000000.0,43086665000000.0,19921905000000.0,12320546000000.0,7601359000000.0,2799523000000.0,10400882000000.0,-7002160000000.0,3398722000000.0,-674797000000.0,371851000000.0,2352074000000.0,1702533000000.0,5101255000000.0,,11643.930693069307,1584108000000.0,-312239000000.0,-436197000000.0,835672000000.0,320723000000.0,1904831000000.0,
TNCA.JK,2024-03-31,23681554270.0,29803836482.0,53485390752.0,,,2558366792.0,7754771900.0,1162969939.0,8917741839.0,44567648913.0,1175035036.0,44570062564.0,16697853905.0,11654285901.0,5043568004.0,3676437254.0,8720005258.0,-7446618817.0,1273386441.0,-211888593.0,857433.0,1060640415.0,31741688.0,1305128129.0,,420889053.5714286,-499150537.0,,-124528200.0,-623678737.0,,,
MREI.JK,2024-03-31,,,4864799299034.0,16771386766.0,,,,,3385595204997.0,1474388085713.0,,1474388085713.0,712527410960.0,,,,,,20631968928.0,14241169679.0,,34873138607.0,,,,517791681.0,-8284152807.0,16289828120.0,,8005675313.0,74378940.0,-8209773867.0,34873138607.0
INDX.JK,2024-03-31,3707499092.0,47305820487.0,51013319579.0,,,2972496063.0,7802381985.0,9055880565.0,16858262550.0,34155057029.0,8334359727.0,34150293678.0,82258821.0,518302467.0,-436043646.0,3093819431.0,2657775785.0,-6176480667.0,-3518704882.0,,1744.0,-3518706626.0,,,,437650077.86069655,-3238092216.0,,2350576665.0,-887515551.0,,,
APEX.JK,2024-03-31,79608408.0,180038605.0,259647013.0,,,7494890.0,17609973.0,175325321.0,192935294.0,66711719.0,129900739.0,66711719.0,23786450.0,,23786450.0,20160807.0,43947257.0,-41704156.0,2243101.0,-538576.0,,1704525.0,1077208.0,3320309.0,,2840875000.0000005,2705742.0,-2641292.0,-1182561.0,-1118111.0,2656205.0,5361947.0,
GGRM.JK,2024-03-31,54970982000000.0,38299196000000.0,93270178000000.0,,,4466011000000.0,29674163000000.0,2137599000000.0,31811762000000.0,61458416000000.0,12552867000000.0,61458344000000.0,26264938000000.0,23472554000000.0,2792384000000.0,1870107000000.0,4662491000000.0,-3871244000000.0,791247000000.0,-195674000000.0,1000000.0,595572000000.0,190658000000.0,981905000000.0,,1921.2,2081198000000.0,-1038476000000.0,-200000000000.0,842722000000.0,1046986000000.0,3128184000000.0,
HITS.JK,2024-03-31,84432383.0,192150767.0,276583150.0,,,44355838.0,46817756.0,122774399.0,169592155.0,106990995.0,76605284.0,65233190.0,29616443.0,23616106.0,6000337.0,3522458.0,9522795.0,-7483916.0,2038879.0,-401496.0,-519425.0,2156808.0,1025775.0,3064654.0,,6957445161.290322,20146607.0,-16239288.0,-292726.0,3614593.0,17020769.0,37167376.0,
RONY.JK,2024-03-31,6644243480.0,1653182230.0,8297425710.0,,,64644778.0,3506168243.0,29257923.0,3535426166.0,4761999544.0,1754675361.0,4761999544.0,521915271.0,210560430.0,311354841.0,283507152.0,594861993.0,-567173615.0,27688378.0,,,27688378.0,199500.0,27887878.0,,1384418900.0,57910524.0,,,57910524.0,,,
INPP.JK,2024-03-31,2116245316745.0,7524346364022.0,9640591680767.0,,,457486940809.0,1093807232581.0,2488917781448.0,3582725014029.0,6057866666738.0,1903951622066.0,5451089251495.0,262583176143.0,89237006706.0,173346169437.0,125701162589.0,299047332026.0,-158552431652.0,140494900374.0,-6540139321.0,16068885895.0,117885875158.0,43432309444.0,183927209818.0,,11184618136.432638,42845491760.0,-152575159730.0,148466797460.0,38737129490.0,152644659730.0,195490151490.0,
GHON.JK,2024-03-31,131792869000.0,1241190545000.0,1372983414000.0,,,16421572000.0,330878803000.0,190575484000.0,521454287000.0,851529127000.0,402240325000.0,829394901000.0,53920980000.0,19609211000.0,34311769000.0,8226220000.0,42537989000.0,-24761647000.0,17776342000.0,-1292136000.0,373552000.0,16110654000.0,7884049000.0,25660391000.0,,537021800.0,25011268000.0,-102052593000.0,6402391000.0,-70638934000.0,103102652000.0,128113920000.0,
SAPX.JK,2024-03-31,257935502925.0,74446503790.0,332382006715.0,,,59207786103.0,145296777792.0,7744119987.0,153040897779.0,179341108936.0,64699788785.0,179341108936.0,189963260751.0,149384709746.0,40578551005.0,37246205144.0,77824756149.0,-74907373036.0,2917383113.0,-641824284.0,,2275558829.0,1711543943.0,4628927056.0,,833538032.6007326,7808221825.0,1253276962.0,-13105935930.0,-4044437143.0,709723038.0,8517944863.0,
SSTM.JK,2024-03-31,216829644409.0,195816812891.0,412646457300.0,,,3145596184.0,134771886579.0,36014052852.0,170785939431.0,241860517869.0,,241860517869.0,61739072767.0,56250375089.0,5488697678.0,3310773969.0,8799471647.0,-2110157537.0,6689314110.0,-690678565.0,,5998635545.0,56591548.0,6745905658.0,,1199727109.0,1257754497.0,-490000000.0,,767754497.0,490000000.0,1747754497.0,
WIFI.JK,2024-03-31,314574004710.0,1707862016482.0,2022436021192.0,,,35768737603.0,289479038144.0,959969895905.0,1249448934049.0,772987087143.0,960791618891.0,771005006772.0,139781211970.0,59851711698.0,79929500272.0,15654491646.0,95583991918.0,-50537605873.0,45046386045.0,-15759398823.0,-101817815.0,29388805037.0,19271528558.0,64317914603.0,,2323225694.624506,-159163330830.0,-249999656705.0,404859186008.0,-4303801527.0,249999656705.0,90836325875.0,
AMIN.JK,2024-03-31,241196346116.0,102470930458.0,343667276574.0,,,3946215416.0,156707399706.0,13118625651.0,169826025357.0,173841251217.0,50952350891.0,173841251217.0,76240835987.0,66641691887.0,9599144100.0,3761147751.0,13360291851.0,-8604931644.0,4755360207.0,,,4755360207.0,1227284635.0,5982644842.0,,1080763683.4090908,996910920.0,-887511388.0,-5099204973.0,-4989805441.0,887511388.0,1884422308.0,
PORT.JK,2024-03-31,1029933436000.0,654860673000.0,1684794109000.0,,,239764055000.0,516447930000.0,154636649000.0,671084579000.0,1013709530000.0,200805067000.0,1083640237000.0,303604904000.0,227232190000.0,76372714000.0,19167046000.0,95539760000.0,-40979485000.0,54560275000.0,-14423061000.0,-8902127000.0,27792983000.0,4959304000.0,59519579000.0,,2813054959.51417,66608450000.0,-116593000.0,-52686683000.0,13805174000.0,116593000.0,66725043000.0,
CPRO.JK,2024-03-31,2524971000000.0,4521660000000.0,7046631000000.0,,,99024000000.0,2325749000000.0,1202269000000.0,3528018000000.0,3518613000000.0,2095931000000.0,3515564000000.0,2289408000000.0,1869286000000.0,420122000000.0,229366000000.0,649488000000.0,-516966000000.0,132522000000.0,-33612000000.0,25000000.0,98885000000.0,42864000000.0,175386000000.0,,58167.64705882353,149152000000.0,-55203000000.0,-70238000000.0,23711000000.0,55220000000.0,204372000000.0,
KRAS.JK,2024-03-31,631122000.0,2163128000.0,2794250000.0,,,97853000.0,2107769000.0,226746000.0,2334515000.0,459735000.0,1817059000.0,488965000.0,231793000.0,211852000.0,19941000.0,26924000.0,46865000.0,-72742000.0,-25877000.0,-1469000.0,1797000.0,-29143000.0,30606000.0,4729000.0,,19428666.666666668,-20577000.0,2741000.0,-6057000.0,-23893000.0,1235000.0,-19342000.0,
ABDA.JK,2024-03-31,,,2713894490000.0,681964220000.0,,,,,1199926707000.0,1513967783000.0,,1513917291000.0,249566516000.0,,,,,,10731847000.0,1311815000.0,,12043662000.0,,,,633995.4736842106,-6882170000.0,-33805989000.0,0.0,-40688159000.0,2212204000.0,-4669966000.0,12043662000.0
GTBO.JK,2024-03-31,15366120.0,46170869.0,61536989.0,,,6779310.0,7854764.0,2071576.0,9926340.0,51610649.0,,51610649.0,11641181.0,5683204.0,5957977.0,3470883.0,9428860.0,-6980610.0,2448250.0,-538615.0,,1909635.0,,,,1909635000.0,-573373.0,,-700000.0,-1273373.0,,,
PEVE.JK,2024-03-31,983495726422.0,29346884224.0,1012842610646.0,,,4094962498.0,727006761393.0,43254196363.0,770260957756.0,242581652890.0,88739354990.0,242581498804.0,714492921204.0,628603028721.0,85889892483.0,70745894158.0,156635786641.0,-143001689744.0,13634096897.0,-2999501317.0,-627387.0,10635222967.0,1500401043.0,15134497940.0,,1766648333.3887043,-14276860475.0,-1953983083.0,15833706464.0,-397137094.0,2093622724.0,-12183237751.0,
